strain_id,phylum,class,order,family,genus,species,strain_designation
serr,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Yersiniaceae,Serratia,sp.,"SC 11,482"
sflavi,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,flavimaris,SMR4y
shewden,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,denitrificans,OS217
simid,Proteobacteria,Gammaproteobacteria,Cellvibrionaceae,Cellvibrionaceae,Simiduia,agarivorans,SA1
nitzsch,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,pseudonitzschiae,SMR1
t2,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Aeromicrobium,marinum,T2
t6c,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Pseudoalteromonas,atlantica,T6c
vcamp,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,campbelli,BB120
vnat,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,natriegens,111
vorax,Proteobacteria,Oligoflexia,Bdellovibrionales,Pseudobacteriovoracaceae,Pseudobacteriovorax,antillogorgiicola,RKEM611
woodyi,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,woodyi,MS32
parctic,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,arctica,DSM 14288
plank,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,temperata,DSM 22400
jeju,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Hyunsoonleella,jejuensis,DSM 21035
mr1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,oneidensis,MR-1
psych,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,ossibalaenae,JAMM 0738
