ds_strain_id	id_ZOC
exig	Exiguobacterium oxidotolerans JCM 12280
fagar	Formosa agariphila KMM 3901
crono	Cronobacter universalis NCTC 9529
rbalt	Rhodopirellula baltica SH 1
sulfuden	Sulfurimonas denitrificans DSM 1251
luca5	Loktanella vestfoldensis strain SMR4r
